category_name,mean_correlation
pizza,0.34005465881694497
giraffe,0.33521683502537974
elephant,0.3056317645419989
zebra,0.2957842937730721
sandwich,0.29340189175351067
horse,0.29264003217131546
airplane,0.2905653599673242
bear,0.28066279056099325
cake,0.2781812200032139
hot dog,0.2758779434310602
stop sign,0.27496103590830523
cat,0.2734782982035376
parking meter,0.2714503520252863
teddy bear,0.2619481855631034
bed,0.2528921633424096
motorcycle,0.24942971569941427
person,0.2483796648230791
donut,0.24170713307009137
fire hydrant,0.23494348976929408
banana,0.2279204967127853
dog,0.22399947434960302
cow,0.2186303232775179
suitcase,0.21728555379574488
sheep,0.2026018596806285
dining table,0.18906028723760565
bird,0.17205342502989526
broccoli,0.12612242605692864
orange,0.12508716297358913
snowboard,0.12410583740604576
laptop,0.12373258102401924
apple,0.1226805368339357
surfboard,0.12159585876711863
kite,0.11695159181148333
bowl,0.11496393189047303
carrot,0.11484341212687714
toilet,0.11067426019132935
vase,0.10719075731830212
keyboard,0.10434191466740939
umbrella,0.10243335077464942
train,0.09662573889084372
frisbee,0.09514603606995573
couch,0.09386681420122235
scissors,0.09314429638283109
boat,0.08899326521316654
skateboard,0.0881091014068774
tennis racket,0.08438221231437587
toothbrush,0.07898939155143353
remote,0.07529822376479617
tie,0.0746448555194132
cell phone,0.07383932462027158
bicycle,0.07127946284008128
skis,0.06962909385295994
bench,0.06885857568563966
hair drier,0.06859347129114984
sink,0.06579986116422112
baseball glove,0.06218259755928693
traffic light,0.061859420968127625
backpack,0.06084893328079475
mouse,0.0562061526306858
handbag,0.0490211951660849
baseball bat,0.043712303308282505
refrigerator,0.04209827348745488
truck,0.03758418070587185
bus,0.037066967767787014
clock,0.0367191422493108
wine glass,0.032062524307781816
oven,0.030633596108653946
cup,0.0227910823496282
sports ball,0.022762175678446
spoon,0.019322833753234674
knife,0.016439623153568908
fork,0.014705865800228014
chair,0.01157525995679559
potted plant,0.011160956461815547
book,0.00704362184532324
bottle,0.002046099886924889
car,-0.007230306943501971
toaster,-0.008748446181587223
microwave,-0.015406189954202332
tv,-0.04183103176974935
Overall,0.1293349703140023
Time-Taken, 1:37:51
