category_name,mean_correlation
bear,0.47764194716238856
zebra,0.4569734647163164
train,0.45283735908834594
elephant,0.44941334842392416
bus,0.3966946845078323
pizza,0.3881467880084574
cat,0.37919420932049314
airplane,0.37650431077595015
cow,0.37262558769130233
giraffe,0.3675248560199242
sandwich,0.3363176991140976
sheep,0.3362830786810334
horse,0.33585171288549187
teddy bear,0.3123843892216082
hot dog,0.3100634896368454
dog,0.30576994237101096
donut,0.29252642737176593
cake,0.2921623900819116
stop sign,0.28519157486864577
person,0.2851301895163341
motorcycle,0.2849563323053822
fire hydrant,0.25808691483885415
parking meter,0.2364972872486757
toilet,0.23417452285238385
boat,0.2291019010550599
truck,0.214950621569178
bird,0.20259065195880718
suitcase,0.1829954751852724
banana,0.17644011491335176
orange,0.17641895253386924
broccoli,0.17402301981572713
apple,0.1688771460168331
laptop,0.16800599962796062
carrot,0.16068699502945402
surfboard,0.15321251386144882
bed,0.14833403520710048
oven,0.14383835908266687
vase,0.14112747389298078
kite,0.13534161671916825
bowl,0.13329011563713788
clock,0.12903907094934247
scissors,0.118700250700185
tv,0.1185709240440606
refrigerator,0.11478044892377177
sink,0.11279305449807256
snowboard,0.10680719940469562
bicycle,0.10507212622311918
bench,0.10442012136869258
umbrella,0.09787946392762274
frisbee,0.09537910492025391
tie,0.09132339993247757
skateboard,0.09094748768587163
toaster,0.08956941694935865
cell phone,0.08816580282825569
keyboard,0.08727426478239755
microwave,0.0832001502001993
toothbrush,0.08276622477135546
car,0.0819645170679443
tennis racket,0.08159021865938781
backpack,0.07684085548832387
baseball glove,0.06970003011274556
remote,0.06818821331840469
dining table,0.0646481244096244
potted plant,0.06317028043288933
hair drier,0.05790159569909634
book,0.057394301753003626
handbag,0.0538410643194341
traffic light,0.05367064028612964
mouse,0.05300223340770278
couch,0.04532036143427941
wine glass,0.04486683355655934
skis,0.044168003864130154
bottle,0.043924931167238994
baseball bat,0.038745618622830595
chair,0.034935761692558374
cup,0.03169668118356857
sports ball,0.02162510310251384
spoon,0.01944138794013169
knife,0.015249143574995547
fork,0.007256483771337048
Overall,0.16929253761284363
Time-Taken,9946sec
