category_name,mean_correlation
giraffe,0.3263904783145521
airplane,0.31001638245271873
parking meter,0.3038204089555573
elephant,0.30129891511258994
horse,0.2914522755246878
stop sign,0.28797457849034475
zebra,0.2797134925218149
bear,0.27925642298796743
bed,0.2589929396591488
cake,0.2560575161528912
motorcycle,0.25384640820459103
teddy bear,0.24329097240293532
hot dog,0.2426740914372047
person,0.2414270679899505
fire hydrant,0.2365632073445176
sandwich,0.23158873822167045
cat,0.2303898780002425
pizza,0.22829313420162933
cow,0.22420826281283926
dining table,0.221363545159523
suitcase,0.22054405483594086
dog,0.20561710658731705
donut,0.20345012347910751
sheep,0.19578731753758968
banana,0.18369018496057277
bird,0.15272540136977356
snowboard,0.12207749581574538
laptop,0.12081652566185073
orange,0.11994079234551472
keyboard,0.11907415719378973
apple,0.11841339801767374
surfboard,0.11727672185088137
bus,0.11028170558370187
umbrella,0.10951211863871474
train,0.10502893505721163
kite,0.10344857146098287
broccoli,0.09869782245319221
couch,0.09735067546871523
vase,0.09456085255442587
bowl,0.09198440801758705
skateboard,0.0893054622400977
boat,0.08596891876790606
tennis racket,0.0827783025145927
scissors,0.07935333855036017
frisbee,0.07733525914785525
remote,0.07579109640806464
carrot,0.07503412330628499
bench,0.07423012000331947
tie,0.07377013406206057
traffic light,0.07271595520420579
cell phone,0.07097241689716285
bicycle,0.07007902775785896
skis,0.06961385180147793
toothbrush,0.06955834322481456
hair drier,0.06531553160433679
backpack,0.06409135786023751
baseball glove,0.06102457469957563
sink,0.059778728651591555
truck,0.054273802334360466
mouse,0.05380332609453326
handbag,0.052755068122469044
clock,0.04301567253394898
toilet,0.04242771242869001
baseball bat,0.03671650286688349
refrigerator,0.032997092000777224
sports ball,0.019877244652613382
knife,0.016410152170007766
oven,0.015755329211327884
potted plant,0.015534580804217216
chair,0.01345692229682724
fork,0.012091717074770329
cup,0.011880626458837555
book,0.010916757636805654
spoon,0.010391190846281815
microwave,0.0012659774659254327
bottle,-0.00028415203316468056
wine glass,-0.004078145765439254
car,-0.010063866043156747
toaster,-0.015942573284024333
tv,-0.03443110450027352
Overall,0.1250246396988221
Time-Taken, 57:31
