category_name,mean_correlation
airplane,0.39638236379857045
zebra,0.3174179493318069
bear,0.2967574137863293
train,0.2899248498648147
person,0.2716832215628672
cow,0.26370458899575366
stop sign,0.24931429395923918
bus,0.2492558669257137
sheep,0.23367525683267115
horse,0.2284089222615724
boat,0.22319945148028175
motorcycle,0.20921722419060187
giraffe,0.20907653975341492
fire hydrant,0.2054763877469941
tv,0.19389581956666363
bird,0.19361445382321668
kite,0.18555150254497246
dog,0.1730647623433525
surfboard,0.1704961283369258
truck,0.16821802357711318
laptop,0.14032270628464344
frisbee,0.13450080991441823
umbrella,0.13378329895011679
teddy bear,0.12677674142710876
snowboard,0.12231374208831772
scissors,0.12199915626114004
traffic light,0.12085192862828417
cat,0.11925909205018083
oven,0.11014853766718559
car,0.10969350668045606
elephant,0.10598888190120177
cake,0.10463640813649032
tie,0.10395009284987863
parking meter,0.10235594152409594
toilet,0.10226344138885846
backpack,0.10113099828925931
toothbrush,0.10010950039408698
suitcase,0.0931858844077852
hair drier,0.09145296918807674
microwave,0.08959190870394858
skateboard,0.07924644649847085
vase,0.07828575770541009
cell phone,0.07760063496367921
clock,0.07737176256458948
book,0.07450511727838853
bed,0.07312486617358557
bench,0.0723127393150568
toaster,0.07079817957111512
remote,0.07010104950885797
handbag,0.06847522585543957
bowl,0.06632623937628669
hot dog,0.06515977473669538
apple,0.06495920576110904
bottle,0.06440778652862483
sink,0.06272679867251235
chair,0.06235433043147605
baseball glove,0.0604468332445492
mouse,0.0568928987207708
donut,0.05507872162699539
potted plant,0.051931251936066285
skis,0.04679755911599149
bicycle,0.04537224752057543
knife,0.04380428226319476
sports ball,0.04295768553833008
cup,0.041988811630421966
tennis racket,0.0383574351573451
baseball bat,0.03772407704126308
banana,0.03628078036555991
spoon,0.032103768572905714
fork,0.030940306415117157
dining table,0.026493169319324945
keyboard,0.024499576588978465
orange,0.015851716183941204
refrigerator,0.015591566572338383
wine glass,0.009904872790787389
carrot,0.004937833977806489
couch,0.004390548037567357
sandwich,-0.009448337348283454
broccoli,-0.02515022296001701
pizza,-0.05189926280162094
Overall,0.13064627589138852
Time-Taken,7755sec
