category_name,mean_correlation
diningtable,0.49266693808263806
bottle,0.410442245235983
horse,0.37157860428606587
chair,0.3420125421235271
sofa,0.3305717414097514
cat,0.3092204229482963
dog,0.30533579985038356
bird,0.29670629857095016
cow,0.2916413508795465
person,0.2887322858760903
sheep,0.28163940188552405
motorbike,0.28093012666157136
pottedplant,0.2742223629410002
tvmonitor,0.2557434570023226
bicycle,0.2031469646683327
car,0.1978858545255871
aeroplane,0.18682660969055842
train,0.11498774985993514
bus,0.11157463553996265
boat,0.10278195625160852
Overall,0.28342201736964795
Time-Taken, 789sec
