image_id,category_id,category_name,correlation
2007_000027,14,person,0.7255754909608093
2007_000032,0,aeroplane,0.4000452086823331
2007_000032,14,person,0.4000452086823331
2007_000033,0,aeroplane,0.43663014310975284
2007_000039,19,tvmonitor,0.4604483741954713
2007_000042,18,train,0.5476592866270836
2007_000061,3,boat,0.4153578552176549
2007_000063,8,chair,0.6226104652701484
2007_000063,11,dog,0.6226104652701484
2007_000068,2,bird,0.27589865439110656
2007_000121,19,tvmonitor,-0.094265777403011
2007_000123,18,train,0.6610419986974303
2007_000129,1,bicycle,0.32326673191462385
2007_000129,14,person,0.32326673191462385
2007_000170,4,bottle,0.6378500157009243
2007_000170,14,person,0.6378500157009243
2007_000175,16,sheep,0.6166587002552879
2007_000187,19,tvmonitor,0.47696783692083056
2007_000241,3,boat,0.35055651565731993
2007_000243,0,aeroplane,0.41448402922998157
2007_000250,4,bottle,0.5771462925210307
2007_000250,10,diningtable,0.5771462925210307
2007_000256,0,aeroplane,0.5299615582047418
2007_000272,14,person,0.3412293984806357
2007_000323,14,person,0.4614582161589971
2007_000332,12,horse,0.48849880690509806
2007_000333,18,train,0.6401805984800211
2007_000346,4,bottle,0.668699356782771
2007_000346,14,person,0.668699356782771
2007_000363,2,bird,0.39446828191389294
2007_000364,14,person,0.6210096359996641
2007_000364,13,motorbike,0.6210096359996641
2007_000392,12,horse,0.6155602092759465
2007_000392,14,person,0.6155602092759465
2007_000423,14,person,0.34584946107195325
2007_000452,8,chair,0.31222718221142576
2007_000452,17,sofa,0.31222718221142576
2007_000464,9,cow,0.614851134608918
2007_000480,0,aeroplane,0.6347296633462411
2007_000480,14,person,0.6347296633462411
2007_000491,9,cow,0.525649509054094
2007_000504,9,cow,0.2830926036693709
2007_000504,14,person,0.2830926036693709
2007_000515,1,bicycle,0.0014211959055342902
2007_000515,6,car,0.0014211959055342902
2007_000515,14,person,0.0014211959055342902
2007_000528,7,cat,0.5754692449637665
2007_000529,3,boat,-0.019632989834289856
2007_000529,6,car,-0.019632989834289856
2007_000549,7,cat,0.5419570014211023
2007_000559,4,bottle,0.49220950337211433
2007_000559,19,tvmonitor,0.49220950337211433
2007_000572,1,bicycle,0.37815258724695894
2007_000584,1,bicycle,0.40304131441146485
2007_000584,17,sofa,0.40304131441146485
2007_000629,18,train,0.7206271007432498
2007_000629,14,person,0.7206271007432498
2007_000636,18,train,0.6682481519580873
2007_000645,2,bird,0.6700204175703717
2007_000648,6,car,0.7242220237832074
2007_000648,5,bus,0.7242220237832074
2007_000648,14,person,0.7242220237832074
2007_000648,0,aeroplane,0.7242220237832074
2007_000661,8,chair,0.4976553725725843
2007_000661,15,pottedplant,0.4976553725725843
2007_000661,17,sofa,0.4976553725725843
2007_000663,5,bus,0.35179425077377635
2007_000663,6,car,0.35179425077377635
2007_000664,14,person,0.6860624785875151
2007_000676,16,sheep,0.692269831341534
2007_000713,3,boat,0.6658747938337471
2007_000720,11,dog,0.5022121837285025
2007_000727,14,person,0.09874604748570798
2007_000727,5,bus,0.09874604748570798
2007_000727,6,car,0.09874604748570798
2007_000733,14,person,0.5571699241252425
2007_000733,13,motorbike,0.5571699241252425
2007_000738,0,aeroplane,0.6890915403352049
2007_000762,4,bottle,-0.0438511143481745
2007_000762,14,person,-0.0438511143481745
2007_000762,10,diningtable,-0.0438511143481745
2007_000768,5,bus,0.6464348319256459
2007_000783,12,horse,0.5817444146884985
2007_000783,14,person,0.5817444146884985
2007_000793,1,bicycle,0.49543506588421393
2007_000793,5,bus,0.49543506588421393
2007_000793,14,person,0.49543506588421393
2007_000799,12,horse,0.6834503920917668
2007_000799,14,person,0.6834503920917668
2007_000804,8,chair,0.24940465437942697
2007_000804,17,sofa,0.24940465437942697
2007_000807,14,person,0.35050691822413493
2007_000822,13,motorbike,0.4632931432719114
2007_000830,8,chair,0.5296897662577716
2007_000830,10,diningtable,0.5296897662577716
2007_000836,12,horse,0.6102080682243628
2007_000836,14,person,0.6102080682243628
2007_000837,3,boat,0.30228673667184847
2007_000847,14,person,0.5026774020942372
2007_000847,10,diningtable,0.5026774020942372
2007_000862,3,boat,0.18751966615077093
2007_000862,14,person,0.18751966615077093
2007_000876,7,cat,0.7386956692492753
2007_000904,12,horse,0.5229730091929576
2007_000904,9,cow,0.5229730091929576
2007_000904,14,person,0.5229730091929576
2007_000925,16,sheep,0.5396930327592232
2007_000999,4,bottle,0.18530950360006912
2007_000999,14,person,0.18530950360006912
2007_001027,1,bicycle,0.2783373844945628
2007_001027,8,chair,0.2783373844945628
2007_001027,19,tvmonitor,0.2783373844945628
2007_001027,17,sofa,0.2783373844945628
2007_001073,9,cow,0.5394771931460969
2007_001149,19,tvmonitor,0.36812650427487215
2007_001149,17,sofa,0.36812650427487215
2007_001149,15,pottedplant,0.36812650427487215
2007_001154,15,pottedplant,0.3661806254316317
2007_001154,17,sofa,0.3661806254316317
2007_001175,19,tvmonitor,0.3256443418520796
2007_001175,14,person,0.3256443418520796
2007_001185,4,bottle,0.4956129751842209
2007_001185,7,cat,0.4956129751842209
2007_001185,14,person,0.4956129751842209
2007_001185,10,diningtable,0.4956129751842209
2007_001225,11,dog,0.5950252089217568
2007_001239,11,dog,0.7253695578531469
2007_001284,14,person,0.5871689095888023
2007_001288,0,aeroplane,0.4193133976402662
2007_001289,2,bird,0.5299618717349551
2007_001299,9,cow,0.6193989738444798
2007_001311,1,bicycle,0.4476217798657851
