category_name,mean_correlation
aeroplane,0.43752777670230886
motorbike,0.35211130101866106
bird,0.33478520976504145
bus,0.3341896818276154
boat,0.3335606363497183
horse,0.3260074657343162
car,0.3199405893158923
sheep,0.30351326364450915
train,0.30121307925740065
cow,0.29198451499500294
person,0.28525257591250114
bicycle,0.27937204136921595
bottle,0.26716062322323736
dog,0.2669802976366663
diningtable,0.25531851044385695
chair,0.23491099484953099
tvmonitor,0.2286413449162401
sofa,0.19622786939790443
pottedplant,0.1866667998552078
cat,0.15046091968937725
Overall,0.27998786342685184
Time-Taken,490sec
